activity_id,week,location_id,co_share_group
A006,19,PLAT:ALP:S03:WB,b2
A006,19,PLAT:ALP:S04:WB,b2
A006,19,SEC:ALP:H01_H02:WB,b1
A006,19,SEC:ALP:S03_S04:WB,b4
A006,19,SEC:ALP:S04_H01:WB,b1
A007,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b1
A007,16,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H02:EB,b1
A007,16,SEC:BET:H01_H02:EB,b1
A007,17,PLAT:BET:H01:EB,b1
A007,17,PLAT:BET:H02:EB,b1
A007,17,SEC:BET:H01_H02:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A007,18,SEC:BET:H01_H02:EB,b1
A007,19,PLAT:BET:H01:EB,b1
A007,19,PLAT:BET:H02:EB,b1
A007,19,SEC:BET:H01_H02:EB,b1
A007,20,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H02:EB,b1
A007,20,SEC:BET:H01_H02:EB,b1
A007,22,PLAT:BET:H01:EB,b1
A007,22,PLAT:BET:H02:EB,b1
A007,22,SEC:BET:H01_H02:EB,b1
A008,16,PLAT:BET:S17:EB,b2
A008,16,PLAT:BET:S18:EB,b1
A008,16,SEC:BET:S17_S18:EB,b1
A008,20,PLAT:BET:S17:EB,b1
A008,20,PLAT:BET:S18:EB,b2
A008,20,SEC:BET:S17_S18:EB,b1
A008,21,PLAT:BET:S17:EB,b1
A008,21,PLAT:BET:S18:EB,b1
A008,21,SEC:BET:S17_S18:EB,b3
A008,26,PLAT:BET:S17:EB,b1
A008,26,PLAT:BET:S18:EB,b1
A008,26,SEC:BET:S17_S18:EB,b1
A008,27,PLAT:BET:S17:EB,b2
A008,27,PLAT:BET:S18:EB,b2
A008,27,SEC:BET:S17_S18:EB,b3
A009,3,PLAT:ALP:S05:EB,b1
A009,3,PLAT:ALP:S06:EB,b1
A009,3,SEC:ALP:S05_S06:EB,b1
A009,4,PLAT:ALP:S05:EB,b1
A009,4,PLAT:ALP:S06:EB,b1
A009,4,SEC:ALP:S05_S06:EB,b1
A009,6,PLAT:ALP:S05:EB,b1
A009,6,PLAT:ALP:S06:EB,b1
A009,6,SEC:ALP:S05_S06:EB,b1
A009,7,PLAT:ALP:S05:EB,b1
A009,7,PLAT:ALP:S06:EB,b1
A009,7,SEC:ALP:S05_S06:EB,b1
A009,8,PLAT:ALP:S05:EB,b1
A009,8,PLAT:ALP:S06:EB,b1
A009,8,SEC:ALP:S05_S06:EB,b1
A009,11,PLAT:ALP:S05:EB,b1
A009,11,PLAT:ALP:S06:EB,b1
A009,11,SEC:ALP:S05_S06:EB,b1
A009,20,PLAT:ALP:S05:EB,b1
A009,20,PLAT:ALP:S06:EB,b1
A009,20,SEC:ALP:S05_S06:EB,b1
A011,21,PLAT:BET:S15:EB,b1
A011,21,PLAT:BET:S16:EB,b1
A011,21,PLAT:BET:S17:EB,b1
A011,21,SEC:BET:S15_S16:EB,b1
A011,21,SEC:BET:S16_S17:EB,b1
A011,24,PLAT:BET:S15:EB,b1
A011,24,PLAT:BET:S16:EB,b1
A011,24,PLAT:BET:S17:EB,b1
A011,24,SEC:BET:S15_S16:EB,b1
A011,24,SEC:BET:S16_S17:EB,b4
A012,2,PLAT:BET:H01:WB,b1
A012,2,PLAT:BET:H02:WB,b1
A012,2,PLAT:BET:S15:WB,b1
A012,2,SEC:BET:H01_H02:WB,b1
A012,2,SEC:BET:H02_S15:WB,b1
A012,3,PLAT:BET:H01:WB,b1
A012,3,PLAT:BET:H02:WB,b1
A012,3,PLAT:BET:S15:WB,b1
A012,3,SEC:BET:H01_H02:WB,b1
A012,3,SEC:BET:H02_S15:WB,b1
A012,4,PLAT:BET:H01:WB,b1
A012,4,PLAT:BET:H02:WB,b1
A012,4,PLAT:BET:S15:WB,b1
A012,4,SEC:BET:H01_H02:WB,b1
A012,4,SEC:BET:H02_S15:WB,b1
A012,5,PLAT:BET:H01:WB,b1
A012,5,PLAT:BET:H02:WB,b1
A012,5,PLAT:BET:S15:WB,b1
A012,5,SEC:BET:H01_H02:WB,b1
A012,5,SEC:BET:H02_S15:WB,b1
A012,6,PLAT:BET:H01:WB,b1
A012,6,PLAT:BET:H02:WB,b1
A012,6,PLAT:BET:S15:WB,b1
A012,6,SEC:BET:H01_H02:WB,b1
A012,6,SEC:BET:H02_S15:WB,b1
A012,7,PLAT:BET:H01:WB,b1
A012,7,PLAT:BET:H02:WB,b1
A012,7,PLAT:BET:S15:WB,b1
A012,7,SEC:BET:H01_H02:WB,b1
A012,7,SEC:BET:H02_S15:WB,b1
A012,18,PLAT:BET:H01:WB,b1
A012,18,PLAT:BET:H02:WB,b1
A012,18,PLAT:BET:S15:WB,b2
A012,18,SEC:BET:H01_H02:WB,b1
A012,18,SEC:BET:H02_S15:WB,b1
A013,22,PLAT:ALP:S05:WB,b1
A013,22,PLAT:ALP:S06:WB,b1
A013,22,SEC:ALP:S05_S06:WB,b1
A013,23,PLAT:ALP:S05:WB,b1
A013,23,PLAT:ALP:S06:WB,b1
A013,23,SEC:ALP:S05_S06:WB,b1
A013,24,PLAT:ALP:S05:WB,b2
A013,24,PLAT:ALP:S06:WB,b2
A013,24,SEC:ALP:S05_S06:WB,b1
A013,25,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S06:WB,b1
A013,25,SEC:ALP:S05_S06:WB,b1
A013,26,PLAT:ALP:S05:WB,b1
A013,26,PLAT:ALP:S06:WB,b1
A013,26,SEC:ALP:S05_S06:WB,b3
A014,13,PLAT:ALP:S07:EB,b1
A014,13,PLAT:ALP:S08:EB,b1
A014,13,SEC:ALP:S07_S08:EB,b1
A014,14,PLAT:ALP:S07:EB,b1
A014,14,PLAT:ALP:S08:EB,b1
A014,14,SEC:ALP:S07_S08:EB,b1
A014,15,PLAT:ALP:S07:EB,b1
A014,15,PLAT:ALP:S08:EB,b1
A014,15,SEC:ALP:S07_S08:EB,b1
A014,18,PLAT:ALP:S07:EB,b1
A014,18,PLAT:ALP:S08:EB,b1
A014,18,SEC:ALP:S07_S08:EB,b1
A014,19,PLAT:ALP:S07:EB,b1
A014,19,PLAT:ALP:S08:EB,b1
A014,19,SEC:ALP:S07_S08:EB,b1
A014,25,PLAT:ALP:S07:EB,b1
A014,25,PLAT:ALP:S08:EB,b1
A014,25,SEC:ALP:S07_S08:EB,b1
A014,26,PLAT:ALP:S07:EB,b1
A014,26,PLAT:ALP:S08:EB,b1
A014,26,SEC:ALP:S07_S08:EB,b1
A017,17,PLAT:BET:H01:EB,b1
A017,17,PLAT:BET:H02:EB,b1
A017,17,PLAT:BET:S15:EB,b1
A017,17,PLAT:BET:S16:EB,b1
A017,17,SEC:BET:H01_H02:EB,b1
A017,17,SEC:BET:H02_S15:EB,b1
A017,17,SEC:BET:S15_S16:EB,b1
A017,18,PLAT:BET:H01:EB,b1
A017,18,PLAT:BET:H02:EB,b1
A017,18,PLAT:BET:S15:EB,b1
A017,18,PLAT:BET:S16:EB,b1
A017,18,SEC:BET:H01_H02:EB,b1
A017,18,SEC:BET:H02_S15:EB,b2
A017,18,SEC:BET:S15_S16:EB,b1
A017,19,PLAT:BET:H01:EB,b1
A017,19,PLAT:BET:H02:EB,b1
A017,19,PLAT:BET:S15:EB,b1
A017,19,PLAT:BET:S16:EB,b2
A017,19,SEC:BET:H01_H02:EB,b1
A017,19,SEC:BET:H02_S15:EB,b1
A017,19,SEC:BET:S15_S16:EB,b1
A017,22,PLAT:BET:H01:EB,b1
A017,22,PLAT:BET:H02:EB,b1
A017,22,PLAT:BET:S15:EB,b1
A017,22,PLAT:BET:S16:EB,b1
A017,22,SEC:BET:H01_H02:EB,b1
A017,22,SEC:BET:H02_S15:EB,b1
A017,22,SEC:BET:S15_S16:EB,b1
A017,23,PLAT:BET:H01:EB,b1
A017,23,PLAT:BET:H02:EB,b1
A017,23,PLAT:BET:S15:EB,b2
A017,23,PLAT:BET:S16:EB,b1
A017,23,SEC:BET:H01_H02:EB,b1
A017,23,SEC:BET:H02_S15:EB,b1
A017,23,SEC:BET:S15_S16:EB,b2
A017,24,PLAT:BET:H01:EB,b1
A017,24,PLAT:BET:H02:EB,b1
A017,24,PLAT:BET:S15:EB,b1
A017,24,PLAT:BET:S16:EB,b2
A017,24,SEC:BET:H01_H02:EB,b1
A017,24,SEC:BET:H02_S15:EB,b1
A017,24,SEC:BET:S15_S16:EB,b1
A017,25,PLAT:BET:H01:EB,b1
A017,25,PLAT:BET:H02:EB,b1
A017,25,PLAT:BET:S15:EB,b1
A017,25,PLAT:BET:S16:EB,b2
A017,25,SEC:BET:H01_H02:EB,b1
A017,25,SEC:BET:H02_S15:EB,b2
A017,25,SEC:BET:S15_S16:EB,b4
A019,12,PLAT:BET:S16:EB,b2
A019,12,PLAT:BET:S17:EB,b2
A019,12,SEC:BET:S16_S17:EB,b1
A019,15,PLAT:BET:S16:EB,b2
A019,15,PLAT:BET:S17:EB,b1
A019,15,SEC:BET:S16_S17:EB,b4
A019,16,PLAT:BET:S16:EB,b2
A019,16,PLAT:BET:S17:EB,b2
A019,16,SEC:BET:S16_S17:EB,b4
A019,22,PLAT:BET:S16:EB,b1
A019,22,PLAT:BET:S17:EB,b1
A019,22,SEC:BET:S16_S17:EB,b4
A020,13,PLAT:ALP:H01:WB,b1
A020,13,PLAT:ALP:H02:WB,b1
A020,13,PLAT:ALP:S04:WB,b2
A020,13,PLAT:ALP:S05:WB,b1
A020,13,SEC:ALP:H01_H02:WB,b1
A020,13,SEC:ALP:H02_S05:WB,b1
A020,13,SEC:ALP:S04_H01:WB,b2
A020,15,PLAT:ALP:H01:WB,b1
A020,15,PLAT:ALP:H02:WB,b1
A020,15,PLAT:ALP:S04:WB,b2
A020,15,PLAT:ALP:S05:WB,b1
A020,15,SEC:ALP:H01_H02:WB,b1
A020,15,SEC:ALP:H02_S05:WB,b1
A020,15,SEC:ALP:S04_H01:WB,b1
A021,14,PLAT:BET:S11:WB,b2
A021,14,PLAT:BET:S12:WB,b2
A021,14,PLAT:BET:S13:WB,b2
A021,14,SEC:BET:S11_S12:WB,b3
A021,14,SEC:BET:S12_S13:WB,b4
A021,15,PLAT:BET:S11:WB,b2
A021,15,PLAT:BET:S12:WB,b2
A021,15,PLAT:BET:S13:WB,b2
A021,15,SEC:BET:S11_S12:WB,b3
A021,15,SEC:BET:S12_S13:WB,b4
A021,19,PLAT:BET:S11:WB,b2
A021,19,PLAT:BET:S12:WB,b2
A021,19,PLAT:BET:S13:WB,b2
A021,19,SEC:BET:S11_S12:WB,b3
A021,19,SEC:BET:S12_S13:WB,b3
A021,23,PLAT:BET:S11:WB,b2
A021,23,PLAT:BET:S12:WB,b2
A021,23,PLAT:BET:S13:WB,b2
A021,23,SEC:BET:S11_S12:WB,b3
A021,23,SEC:BET:S12_S13:WB,b4
A021,27,PLAT:BET:S11:WB,b2
A021,27,PLAT:BET:S12:WB,b2
A021,27,PLAT:BET:S13:WB,b2
A021,27,SEC:BET:S11_S12:WB,b3
A021,27,SEC:BET:S12_S13:WB,b4
A023,22,PLAT:ALP:S03:WB,b1
A023,22,PLAT:ALP:S04:WB,b1
A023,22,SEC:ALP:S03_S04:WB,b4
A023,23,PLAT:ALP:S03:WB,b1
A023,23,PLAT:ALP:S04:WB,b1
A023,23,SEC:ALP:S03_S04:WB,b4
A023,24,PLAT:ALP:S03:WB,b2
A023,24,PLAT:ALP:S04:WB,b2
A023,24,SEC:ALP:S03_S04:WB,b2
A023,26,PLAT:ALP:S03:WB,b2
A023,26,PLAT:ALP:S04:WB,b2
A023,26,SEC:ALP:S03_S04:WB,b1
A023,27,PLAT:ALP:S03:WB,b2
A023,27,PLAT:ALP:S04:WB,b2
A023,27,SEC:ALP:S03_S04:WB,b3
A023,28,PLAT:ALP:S03:WB,b1
A023,28,PLAT:ALP:S04:WB,b2
A023,28,SEC:ALP:S03_S04:WB,b4
A023,29,PLAT:ALP:S03:WB,b2
A023,29,PLAT:ALP:S04:WB,b2
A023,29,SEC:ALP:S03_S04:WB,b4
A025,8,PLAT:ALP:S01:EB,b1
A025,8,PLAT:ALP:S02:EB,b1
A025,8,PLAT:ALP:S03:EB,b1
A025,8,SEC:ALP:S01_S02:EB,b1
A025,8,SEC:ALP:S02_S03:EB,b1
A025,11,PLAT:ALP:S01:EB,b1
A025,11,PLAT:ALP:S02:EB,b1
A025,11,PLAT:ALP:S03:EB,b1
A025,11,SEC:ALP:S01_S02:EB,b1
A025,11,SEC:ALP:S02_S03:EB,b1
A025,12,PLAT:ALP:S01:EB,b1
A025,12,PLAT:ALP:S02:EB,b1
A025,12,PLAT:ALP:S03:EB,b1
A025,12,SEC:ALP:S01_S02:EB,b1
A025,12,SEC:ALP:S02_S03:EB,b1
A025,13,PLAT:ALP:S01:EB,b1
A025,13,PLAT:ALP:S02:EB,b1
A025,13,PLAT:ALP:S03:EB,b2
A025,13,SEC:ALP:S01_S02:EB,b1
A025,13,SEC:ALP:S02_S03:EB,b1
A025,14,PLAT:ALP:S01:EB,b1
A025,14,PLAT:ALP:S02:EB,b1
A025,14,PLAT:ALP:S03:EB,b1
A025,14,SEC:ALP:S01_S02:EB,b1
A025,14,SEC:ALP:S02_S03:EB,b1
A025,19,PLAT:ALP:S01:EB,b1
A025,19,PLAT:ALP:S02:EB,b1
A025,19,PLAT:ALP:S03:EB,b1
A025,19,SEC:ALP:S01_S02:EB,b1
A025,19,SEC:ALP:S02_S03:EB,b1
A025,29,PLAT:ALP:S01:EB,b1
A025,29,PLAT:ALP:S02:EB,b1
A025,29,PLAT:ALP:S03:EB,b2
A025,29,SEC:ALP:S01_S02:EB,b1
A025,29,SEC:ALP:S02_S03:EB,b1
A028,9,PLAT:ALP:H01:EB,b1
A028,9,PLAT:ALP:S03:EB,b2
A028,9,PLAT:ALP:S04:EB,b1
A028,9,SEC:ALP:S03_S04:EB,b1
A028,9,SEC:ALP:S04_H01:EB,b1
A028,10,PLAT:ALP:H01:EB,b1
A028,10,PLAT:ALP:S03:EB,b2
A028,10,PLAT:ALP:S04:EB,b1
A028,10,SEC:ALP:S03_S04:EB,b1
A028,10,SEC:ALP:S04_H01:EB,b1
A031,1,PLAT:ALP:S06:WB,b1
A031,1,PLAT:ALP:S07:WB,b1
A031,1,PLAT:ALP:S08:WB,b1
A031,1,SEC:ALP:S06_S07:WB,b1
A031,1,SEC:ALP:S07_S08:WB,b1
A031,2,PLAT:ALP:S06:WB,b1
A031,2,PLAT:ALP:S07:WB,b1
A031,2,PLAT:ALP:S08:WB,b1
A031,2,SEC:ALP:S06_S07:WB,b1
A031,2,SEC:ALP:S07_S08:WB,b1
A031,3,PLAT:ALP:S06:WB,b1
A031,3,PLAT:ALP:S07:WB,b1
A031,3,PLAT:ALP:S08:WB,b1
A031,3,SEC:ALP:S06_S07:WB,b1
A031,3,SEC:ALP:S07_S08:WB,b1
A031,5,PLAT:ALP:S06:WB,b1
A031,5,PLAT:ALP:S07:WB,b1
A031,5,PLAT:ALP:S08:WB,b1
A031,5,SEC:ALP:S06_S07:WB,b1
A031,5,SEC:ALP:S07_S08:WB,b1
A031,8,PLAT:ALP:S06:WB,b1
A031,8,PLAT:ALP:S07:WB,b1
A031,8,PLAT:ALP:S08:WB,b1
A031,8,SEC:ALP:S06_S07:WB,b1
A031,8,SEC:ALP:S07_S08:WB,b1
A035,1,PLAT:ALP:S02:WB,b1
A035,1,PLAT:ALP:S03:WB,b1
A035,1,PLAT:ALP:S04:WB,b1
A035,1,SEC:ALP:S02_S03:WB,b1
A035,1,SEC:ALP:S03_S04:WB,b1
A035,2,PLAT:ALP:S02:WB,b1
A035,2,PLAT:ALP:S03:WB,b1
A035,2,PLAT:ALP:S04:WB,b2
A035,2,SEC:ALP:S02_S03:WB,b1
A035,2,SEC:ALP:S03_S04:WB,b4
A035,3,PLAT:ALP:S02:WB,b1
A035,3,PLAT:ALP:S03:WB,b2
A035,3,PLAT:ALP:S04:WB,b2
A035,3,SEC:ALP:S02_S03:WB,b1
A035,3,SEC:ALP:S03_S04:WB,b3
A035,4,PLAT:ALP:S02:WB,b1
A035,4,PLAT:ALP:S03:WB,b2
A035,4,PLAT:ALP:S04:WB,b2
A035,4,SEC:ALP:S02_S03:WB,b1
A035,4,SEC:ALP:S03_S04:WB,b4
A035,5,PLAT:ALP:S02:WB,b1
A035,5,PLAT:ALP:S03:WB,b2
A035,5,PLAT:ALP:S04:WB,b2
A035,5,SEC:ALP:S02_S03:WB,b1
A035,5,SEC:ALP:S03_S04:WB,b3
A035,8,PLAT:ALP:S02:WB,b1
A035,8,PLAT:ALP:S03:WB,b2
A035,8,PLAT:ALP:S04:WB,b2
A035,8,SEC:ALP:S02_S03:WB,b1
A035,8,SEC:ALP:S03_S04:WB,b4
A035,9,PLAT:ALP:S02:WB,b1
A035,9,PLAT:ALP:S03:WB,b2
A035,9,PLAT:ALP:S04:WB,b1
A035,9,SEC:ALP:S02_S03:WB,b1
A035,9,SEC:ALP:S03_S04:WB,b4
A035,10,PLAT:ALP:S02:WB,b1
A035,10,PLAT:ALP:S03:WB,b2
A035,10,PLAT:ALP:S04:WB,b2
A035,10,SEC:ALP:S02_S03:WB,b1
A035,10,SEC:ALP:S03_S04:WB,b4
A035,16,PLAT:ALP:S02:WB,b1
A035,16,PLAT:ALP:S03:WB,b2
A035,16,PLAT:ALP:S04:WB,b2
A035,16,SEC:ALP:S02_S03:WB,b1
A035,16,SEC:ALP:S03_S04:WB,b4
A035,20,PLAT:ALP:S02:WB,b1
A035,20,PLAT:ALP:S03:WB,b2
A035,20,PLAT:ALP:S04:WB,b2
A035,20,SEC:ALP:S02_S03:WB,b1
A035,20,SEC:ALP:S03_S04:WB,b4
A035,22,PLAT:ALP:S02:WB,b1
A035,22,PLAT:ALP:S03:WB,b2
A035,22,PLAT:ALP:S04:WB,b2
A035,22,SEC:ALP:S02_S03:WB,b1
A035,22,SEC:ALP:S03_S04:WB,b4
A035,23,PLAT:ALP:S02:WB,b1
A035,23,PLAT:ALP:S03:WB,b2
A035,23,PLAT:ALP:S04:WB,b2
A035,23,SEC:ALP:S02_S03:WB,b1
A035,23,SEC:ALP:S03_S04:WB,b4
A035,24,PLAT:ALP:S02:WB,b1
A035,24,PLAT:ALP:S03:WB,b2
A035,24,PLAT:ALP:S04:WB,b2
A035,24,SEC:ALP:S02_S03:WB,b1
A035,24,SEC:ALP:S03_S04:WB,b2
A035,25,PLAT:ALP:S02:WB,b1
A035,25,PLAT:ALP:S03:WB,b2
A035,25,PLAT:ALP:S04:WB,b2
A035,25,SEC:ALP:S02_S03:WB,b1
A035,25,SEC:ALP:S03_S04:WB,b4
A036,22,PLAT:BET:H01:EB,b1
A036,22,PLAT:BET:S14:EB,b1
A036,22,SEC:BET:S14_H01:EB,b1
A036,23,PLAT:BET:H01:EB,b1
A036,23,PLAT:BET:S14:EB,b2
A036,23,SEC:BET:S14_H01:EB,b1
A036,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,24,SEC:BET:S14_H01:EB,b1
A036,25,PLAT:BET:H01:EB,b1
A036,25,PLAT:BET:S14:EB,b2
A036,25,SEC:BET:S14_H01:EB,b1
A036,26,PLAT:BET:H01:EB,b1
A036,26,PLAT:BET:S14:EB,b1
A036,26,SEC:BET:S14_H01:EB,b1
A036,27,PLAT:BET:H01:EB,b1
A036,27,PLAT:BET:S14:EB,b1
A036,27,SEC:BET:S14_H01:EB,b1
A036,28,PLAT:BET:H01:EB,b1
A036,28,PLAT:BET:S14:EB,b1
A036,28,SEC:BET:S14_H01:EB,b1
A037,8,PLAT:BET:S15:EB,b1
A037,8,PLAT:BET:S16:EB,b1
A037,8,PLAT:BET:S17:EB,b1
A037,8,SEC:BET:S15_S16:EB,b1
A037,8,SEC:BET:S16_S17:EB,b1
A037,9,PLAT:BET:S15:EB,b1
A037,9,PLAT:BET:S16:EB,b1
A037,9,PLAT:BET:S17:EB,b1
A037,9,SEC:BET:S15_S16:EB,b1
A037,9,SEC:BET:S16_S17:EB,b1
A038,10,PLAT:BET:S17:EB,b1
A038,10,PLAT:BET:S18:EB,b1
A038,10,SEC:BET:S17_S18:EB,b1
A038,20,PLAT:BET:S17:EB,b1
A038,20,PLAT:BET:S18:EB,b2
A038,20,SEC:BET:S17_S18:EB,b1
A038,21,PLAT:BET:S17:EB,b1
A038,21,PLAT:BET:S18:EB,b1
A038,21,SEC:BET:S17_S18:EB,b3
A039,8,PLAT:BET:S11:WB,b2
A039,8,PLAT:BET:S12:WB,b2
A039,8,PLAT:BET:S13:WB,b2
A039,8,PLAT:BET:S14:WB,b1
A039,8,SEC:BET:S11_S12:WB,b3
A039,8,SEC:BET:S12_S13:WB,b4
A039,8,SEC:BET:S13_S14:WB,b1
A039,10,PLAT:BET:S11:WB,b2
A039,10,PLAT:BET:S12:WB,b2
A039,10,PLAT:BET:S13:WB,b2
A039,10,PLAT:BET:S14:WB,b1
A039,10,SEC:BET:S11_S12:WB,b3
A039,10,SEC:BET:S12_S13:WB,b4
A039,10,SEC:BET:S13_S14:WB,b1
A039,11,PLAT:BET:S11:WB,b2
A039,11,PLAT:BET:S12:WB,b2
A039,11,PLAT:BET:S13:WB,b2
A039,11,PLAT:BET:S14:WB,b1
A039,11,SEC:BET:S11_S12:WB,b3
A039,11,SEC:BET:S12_S13:WB,b4
A039,11,SEC:BET:S13_S14:WB,b1
A039,12,PLAT:BET:S11:WB,b2
A039,12,PLAT:BET:S12:WB,b2
A039,12,PLAT:BET:S13:WB,b2
A039,12,PLAT:BET:S14:WB,b1
A039,12,SEC:BET:S11_S12:WB,b3
A039,12,SEC:BET:S12_S13:WB,b4
A039,12,SEC:BET:S13_S14:WB,b1
A039,13,PLAT:BET:S11:WB,b2
